,index,text,url
0,0,"""""""Solvency II is the prudential regime for insurance and reinsurance undertakings in the EU. It has entered into force in January 2016. Solvency II sets out requirements applicable to insurance and reinsurance companies in the EU with the aim to ensure the adequate protection of policyholders and beneficiaries. Solvency II has a risk-based approach that enables to assess the overall solvency of insurance and reinsurance undertakings through quantitative and qualitative measures. The Solvency II regulatory framework is built on a three-pillar structure. Pillar I sets the quantitative requirements i.e. the assets and liabilities valuation and capital requirements. Pillar II sets the qualitative requirements including governance and risk management of the undertakings and the Own Risk and Solvency Assessment. 

Pillar III sets the supervisory reporting and public disclosure. The three pillars form a coherent approach that allows to understand and to manage risks across the sector. The key features of the Solvency II regulatory framework are Market consistent assets and liabilities shall be valued at the amount for which they can be exchanged, transferred or settled in the market. Risk-based Higher risks will lead to a higher capital requirement to cover for unexpected losses. Proportional regulatory requirements shall be applied in a manner that is proportionate to the nature, scale and complexity of the risks inherent to the business of the insurance and reinsurance undertakings. Group supervision, supervisors shall increase coordination and exchange of information in colleges of supervisors to improve cross-border supervision of insurance and reinsurance groups. The Solvency II legislation is implemented on three levels.

Solvency II Directive The Directive 2009/138/EC of the European Parliament and of the Council of 25 November 2009 on the taking-up and pursuit of the business of Insurance and Reinsurance Solvency II lays down the general principles. Level 2 the Delegated Regulation and Implementing technical standards The Commission Delegated Regulation (EU) 2015/35 of 10 October 2014 supplementing Directive 2009/138/EC of the European Parliament and of the Council on the taking-up and pursuit of the business of Insurance and Reinsurance Solvency II is a directly applicable legislative act which does not require any additional implementation. Implementing technical standards are legislative provisions made by the European Commission on the basis of advice received from EIOPA.

The implementing technical standards are accessible via the rulebook. Level 3 Guidelines EIOPA issues guidelines and recommendations to establish consistent, efficient and effective supervisory practices and to ensure common and consistent application of Union law. National supervisory authorities are required to incorporate them following a comply or explain process. In 1999, the European Commission presented its paper on The Review of the Overall Financial Position of an Insurance Undertaking. The discussion took particular importance in the wake of the 2008 financial crisis. The crisis showed the importance of a harmonised understanding of the risks by all involved actors and the need for considering wider implications for financial stability. It crystallised the need for bringing the regulatory framework at the forefront of modern risk management, reflecting the reality of large groups operating on a cross-border basis.""""""
",https://www.eiopa.europa.eu/browse/regulation-and-policy/solvency-ii_en
1,1,"""""""InteractiveSingleRulebookSearchAboutESMAGovernanceStructureBoardofSupervisorsManagementBoardSeniorManagementJointCommitteeCCPSupervisoryCommitteeCCPResolutionCommitteeStandingCommitteesBoardofAppealEthicsandConflictsofinterestLegalNoticeandDataProtectionInternalOrganisationStrategyandWorkProgrammeWorkingMethodsProcurementsInternationalCooperationStakeholderEngagementStakeholderRelationsSMSGConsultationsHearingsSpeakingRequestsTransparencyandAccesstoDocumentsAgendaNewsSpeechesESMAsActivitiesInvestorsandIssuersBenchmarkAdministratorsCreditRatingAgenciesFundManagementIssuerDisclosureInvestmentServicesandCrowdfundingMarketsandInfrastructureCentralCounterpartiesDataReportingServicesProvidersDataReportingTradingPost-tradingMarketIntegrityShortSellingCentralSecuritiesDepositoriesSecuritisationTradeRepositoriesRiskAnalysisRiskMonitoringTopicalAnalysisSustainableFinanceClimatebenchmarksandESGdisclosureCRAsandSustainabilityInvestmentServicesandFundManagementSustainabilityReportingDigitalFinanceandInnovationMarketsinCrypto-AssetsRegulationMiCASupervisionandConvergenceInvestigationsandInspectionsSupervisoryConvergenceToolsSanctionsandEnforcementBreachofUnionLawAccesstoFinancialDataInvestorCornerIsthefirmregulatedGetreadytoinvestFraudsandScamsPublicationsforInvestorsProductInterventionMakeacomplaintCostofInvestmentProductsPublicationsDataDatabasesandRegistersDocumentsInteractiveSingleRulebookGuidelinesRecommendationsandTechnicalStandardsPeerReviewsRiskMonitoringandAnalysisQuestionsandAnswersGlossaryInteractiveSingleRulebookTheInteractiveSingleRulebookisanon-linetoolthataimsatprovidingacomprehensiveoverviewofandeasyaccesstoalllevel2andlevel3measuresadoptedinrelationtoagivenlevel1text.ThepurposeoftheInteractiveSingleRulebookistofacilitatetheconsistentapplicationoftheEUsinglerulebookinthesecuritiesmarketsarea.ESMAsobjectiveistoprovideaninteractiveversionforeachkeylevel1textunderESMAsremitovertime.TousethetoolpleaseclickontherelevanttagswhichsignaltheexistenceofImplementingIAorDelegatedActsDAadoptedbytheEuropeanCommissionincludingTechnicalStandardsdevelopedbyESMAandendorsedbytheEuropeanCommissionRTSorITSaswellasGuidelinesGLOpinionsOPandQAsQAsissuedbyESMA.TheInteractiveSingleRulebookismeantpurelyasadocumentationtoolandESMAdoesnotassumeanyliabilityforitscontent.FortheauthenticversionofEUlegislationusersshouldrefertotheOfficialJournaloftheEuropeanUnion.primary_grey_backgroundISRBEur-LexLinkUpdatedUCITSDIRECTIVE200965EC28June2023CRARREGULATIONECNo1060200928June2023EMIRRegulationEUNo648201228June2023BenchmarksRegulationRegulationEU2016101124May2023MiFIRREGULATIONEU600201421March2023MiFIDIIDIRECTIVE201465EU21March2023CSDRREGULATIONEUNo909201420December2022SFTRREGULATIONEU2015236519December2022ProspectusRegulationREGULATIONEU2017112919December2022SSRRegulationEUNo236201218October2022SECRRegulationEU2017240218October2022TransparencyDirectiveDIRECTIVE2004109EC21January2022ESMAisanauthorityoftheEuropeanUnionInteractiveSingleRulebook""""""",https://www.esma.europa.eu/publications-and-data/interactive-single-rulebook
2,2,"""""""InteractiveSingleRulebookEuropeanBankingAuthoritySkiptomaincontentDocumentlibrarySingleRulebookQAContactsGeneralinquiriesComplaintsFraudsandscamsWhistleblowerreportsMiCARFinancialinnovationFinancialInnovationandFinTechFinTechKnowledgeHubEventsStakeholderregisterIndustrySurveysGlossaryforFinancialInnovationPublicationsonFinancialInnovationEuropeanForumforInnovationFacilitatorsSustainablefinanceDiscussionPaperonmanagementandsupervisionofESGrisksforcreditinstitutionsandinvestmentfirmsExtranetENBGCSDADEGRENESETFIFRHRHUITLTLVMTNLPLPTROSKSLSVSearchAdvancedsearchAboutusEBAataglanceLegalFrameworkCompliancewithEBAregulatoryproductsEBAregulationandinstitutionalframeworkMissionsandtasksWorkingprocessMissionstatementandvaluesProgrammingdocumentsEBAWorkProgrammeArchiveCallsforAdviceArchiveCorrespondenceArchiveGovernancestructureBoardofSupervisorsMembersMeetingsandminutesArchiveResolutionCommitteeResolutionAuthoritiesManagementBoardMembersMeetingsandminutesArchiveAMLCFTStandingCommitteeAMLCFTAuthoritiesBankingStakeholderGroupPublicationsArchivedpublicationsMembersMeetingsandMinutesArchiveJointBoardofAppealMembersDecisionsArchiveJointCommiteeCrosssectoralworkQAsConsultationsLibraryInternalorganisationSeniorManagementPapersEBADirectorsEBAstaffEthicsattheEBAConflictsofinterestofmembersofthegoverningbodiesandothercommitteesOccupationalactivitiesafterleavingtheEBADiversityandinclusionTransparencyandaccesstodocumentsSustainableEBAProtectionofpersonaldataCareersPracticalinformationEBAJobapplicationprocessRolesandbusinessareasTemporaryAgentsContractagentsNationalexpertsonsecondmentTraineeshipsReservelistInternshipforstudentsaged14-19BudgetandaccountsArchiveProcurementCurrentprocurementprocedureswithavalueof140000ormoreArchiveCurrentprocurementproceduresbetween15000and140000ArchiveArchivedInformationonex-postpublicityAnnualReportsEBAataglancekeyachievementsin2020andfutureprioritiesArchiveEBAResearchWorkshopsPicturesgalleryStaffPapersRegulationandpolicySingleRulebookImplementingBaselIIIinEuropeImplementingFSBKeyAttributesonresolutionmattersRegulatoryactivitiesAccountingandauditingAccountingGuidelinesonAccountingforExpectedCreditGuidelinesoncommunicationbetweencompetentauthoritiesandauditorsRegulatoryTechnicalStandardsonmethodsofprudentialconsolidationAuditingAsset-referencedande-moneytokensMiCARGuidelinesoninternalgovernancearrangementsforissuersofARTsunderMiCARGuidelinesonliquiditystresstestingunderMiCARGuidelinesonrecoveryplansunderMiCARImplementingTechnicalStandardsonthereportingonARTsandEMTsdenominatedinanon-EUcurrencyunderMiCARJointEBAandESMAGuidelinesonthesuitabilityassessmentofshareholdersandmemberswithqualifyingholdingsinissuersofARTsandinCASPsJointEBAandESMAGuidelinesonthesuitabilityassessmentofthemembersofthemanagementbodyofissuersofARTsandofCASPsRegulatoryTechnicalStandardsfurtherspecifyingtheliquidityrequirementsofthereserveofassetsunderMiCARRegulatoryTechnicalStandardsonsupervisorycollegesunderMiCARRegulatoryTechnicalStandardsontheminimumcontentofthegovernancearrangementsontheremunerationpolicyunderMiCARRegulatoryTechnicalStandardsontheprocedureandtimeframetoadjustownfundsrequirementsforsignificantissuersunderMiCARRegulatoryTechnicalStandardsontheprocedurefortheapprovalofwhitepapersofARTsissuedbycreditinstitutionsRegulatoryTechnicalStandardsontheuseofARTsandEMTsdenominatedinanon-EUcurrencyasameansofexchangeMiCARRegulatoryTechnicalStandardstospecifytheadjustmentofownfundsrequirementsandstresstestingofissuersofasset-referencedtokensandofe-moneytokensunderMiCARRegulatoryTechnicalStandardstospecifythehighlyliquidfinancialinstrumentsinthereserveofassetsunderMiCARRegulatoryTechnicalStandardstospecifytheminimumcontentsoftheliquiditymanagementpolicyandproceduresunderMiCARAnti-MoneyLaunderingandCounteringtheFinancingofTerrorismCallforinputonde-riskinganditsimpactonaccesstofinancialservicesGuidelinesonMLTFriskfactorsrevisedGuidelinesoncooperationandinformationexchangebetweenprudentialsupervisorsAMLCFTsupervisorsandfinancialintelligenceunitsGuidelinesonpoliciesandcontrolsfortheeffectivemanagementofMLTFriskswhenprovidingaccesstofinancialservicesGuidelinesonriskbasedsupervisionGuidelinesonriskfactorsandsimplifiedandenhancedcustomerduediligenceGuidelinesonrisk-basedsupervisionFirstrevisionGuidelinesonrisk-basedsupervisionSecondrevisionGuidelinesontheroleofAMLCFTcomplianceofficers",https://www.eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook
3,3,"""""""CodeofEthicsandStandardsofProfessionalConductCFAProgramCFAProgramExploreCareerPathsBecomeaCharterholderExploretheCurriculumExamOverviewExamPrepProvidersApplyforaScholarshipPoliciesandProceduresRegisterRequestDisabilityAccomodationsEmployerBenefitsImpactAssessmentofCFAPrograminIndiaRegisteredCandidateResourcesLearningEventsLearningEventsCertificatesCoursesClimateRiskValuationandInvestingCertificateCertificateinESGInvestingExamOverviewPoliciesandProceduresRegisterRegisteredCandidateResourcesRequestDisabilityAccommodationsESGInvestingandAnalysisDataScienceForInvestmentProfessionalsFintechPrivateMarketsandAlternativeInvestmentsCertificateInvestmentFoundationsCertificateCIPMProgramCIPMProgramEarntheCIPMDesignationExploretheCurriculumExamOverviewApplyforScholarshipPoliciesandProceduresRegisterRegisteredCandidateResourcesRequestDisabilityAccomodationsEmployerBenefitsWebinarsCFAInstituteConferencesPodcastsSponsorshipsMembershipMembershipBecomeaMemberApplicationResourcesMemberBenefitsMemberBenefitsWaiversRegulatorandProgramRecognitionMembershipRenewalMemberDirectoryVolunteerVolunteerVolunteerOpportunitiesCareerResourcesProfessionalLearningProfessionalLearningProfessionalLearningProgramRefresherReadingsResourcesforProfessionalLearningSocietiesSocietiesFindaSocietyJoinaSocietySocietyLeaderResourcesResearchChallengeGetInvolvedPastChampionsStudentResourcesEthicsProfessionalConductEthicsProfessionalConductEthicsfortheInvestmentManagementProfessionCodesandStandardsCodeofEthicsandStandardsProfessionalConductEthicalDecision MakingGivingVoicetoValuesProfessionalConductProgramDisciplinaryProcessProfessionalConductStatementReportMisconductMemberofCandidateSanctionsResearchPolicyCenterResearchPolicyCenterResearchPolicyCenterOverviewCodesandStandardsDiversityEquityandInclusionCodeFinancialAnalystsJournalGIPSStandardsPolicyResearchResearchFoundationAboutMissionVisionGovernanceLeadershipAnnualReportsand990sCommitteesCouncilsCFAInstitutePoliciesForEmployersWhyHireaCFACharterholderForUniversitiesUniversityAffiliationProgramResourcesforProfessorsCareersatCFAInstituteCFAInstituteEthicsStandardsEthicsfortheInvestmentManagementProfessionCodeofEthicsandStandardsofProfessionalConductThebenchmarkforprofessionalconductforinvestmentprofessionalsaroundtheglobe.AsaCFAInstitutememberCFAProgramcandidateorCIPMProgramcandidateyouarerequiredtofollowtheCFAInstituteCodeofEthicsandStandardsofProfessionalConductCodeandStandards.TheCFAInstituteBoardofGovernorshasapprovedupdatestotheCodeofEthicsandStandardsofProfessionalConductthatwillgointoeffect1January2024.CodeandStandardsandInterpretiveGuidanceTheNewandRevisedStandardsofProfessionalConductthatwillgointoeffect1January2024PDFSeethethreenewandrevisedStandardsofProfessionalConductthatwillgointoeffect1January2024andreadthesummaryexplanationofthosechanges.GuidancefortheCodesandStandardsAstheinvestmentmanagementlandscapeevolvesweupdatetheguidancetoprovidehowtheCodeandStandardsapplytoissuesfacinginvestmentprofessions.StandardsofPracticeHandbook11thedition2014PDFContainstheCodeandStandardseffective1July2014andtheguidanceapplicableatpublication.EthicsinPracticeCasebook2ndeditionPDFTestyourapplicationoftheCodeandStandardswithshortcasesbasedonreal-worldscenarios.ToolsandResourcesThefollowingresourcesassistMemberstounderstandandapplytheCodeofEthicsandStandardsofProfessionalConduct.ChangestotheCFAInstituteCodeofEthicsandStandardsofProfessionalConductWebinarOn24OctoberCFAInstitutehostedawebinarwhichprovidedanoverviewofthechangestotheCFAInstituteCodeofEthicsandStandardsofProfessionalConduct.TranslationsTheCodeandStandardshavebeentranslatedintomorethan20languages.HelpdeskQuestionsEmailus.LearnmoreabouttheProfessionalConductProgramToprotecttheintegrityofCFAInstitutemembershipdesignationsandexamprogramsCFAInstituteupholdstheCodeandStandardsallexamrulesandregulationsandtheCFAInstituteBylawsthroughenforcementbytheProfessionalConductProgram.ReportmisconductYoucanhelpprotecttheintegrityofCFAInstitutemembershipanddesignationsbyreportingconductthatdoesnotmeetourstandards.WhyEthicsMattertotheInvestmentIndustryReadwhyethicsmattertotheinvestmentindustry.""""""",https://www.cfainstitute.org/en/ethics-standards/ethics/code-of-ethics-standards-of-conduct-guidance
4,4,"There seems to be a misunderstanding. The content shared doesn't seem like an article – it looks more like code or metadata, likely from a PDF document. Could you please provide an actual article? I can then help with removing unrelated words from it.",https://www.cfainstitute.org/-/media/documents/code/code-ethics-standards/code-of-ethics-standards-professional-conduct.pdf
5,5,"The text with irrelevant words removed is: """""""""""". The given text does not contain information relevant to an identifiable theme.",https://www.handbook.fca.org.uk/handbook/PRIN.pdf
6,6,"""""""Corporate governance is a driver of the operations and performance of a company. It encompasses relationships between stakeholders, frameworks, decision-making, and responsibility. ASIC provides guidance to assist individuals and responsible entities to comply with their obligations, make good decisions and act in the best interests of investors. Regular engagement with stakeholders on corporate governance-related issues is made through articles in external publications, speeches at events, and the publications of reports, regulatory guides, and information sheets. 

There is also information on the Corporate Governance Taskforce, handling of corporate information, executive remuneration, directors and corporate culture, and corporate actions involving share capital. Guidance in relation to matters of corporate governance can also be found at ASX, including the ASX Corporate Governance Council, Australian Institute of Company Directors, Governance Institute of Australia, Financial Services Council, Australian Council of Superannuation Investors.

The article also updates on recent decisions and reminders related to corporate governance such as extensions for financial reporting deadlines, director trading considerations during COVID-19, guidelines for investor meetings using virtual technology, and changes in regulatory work and priorities due to COVID-19.""""""",https://asic.gov.au/regulatory-resources/corporate-governance/
7,7,"""""""Failed fetch content www.unpri.org signatories reporting-and-assessment public-signatory-reports Status code 403""""""",https://www.unpri.org/signatories/reporting-and-assessment/public-signatory-reports
8,8,"""BlockchainEssentialsInvestingStocksBondsETFsCommoditiesTradingFinTechAutomatedInvestingBrokersFundamentalAnalysisTechnicalAnalysisMarketsPersonalFinanceBudgetingSavingPersonalLoansInsuranceMortgagesCreditDebtStudentLoansTaxesCreditCardsFinancialLiteracyRetirementCryptocurrencyBlockchainBlockchainBlockchainisthedigitalplatformbehindBitcoinandothercryptocurrencies.Itisintendedtocreatefastermoreefficientwaystotransmitreceiveandtrackordersusingsecuredata.BestCryptoStakingPlatformsInvestinWeb3.0Layer1vs.Layer2TheDifferenceBetweenBlockchainScalingSolutionsStakeSolanaProofofReservesCouldItHaveAvoidedtheFTXMeltdownExploreBlockchainStoreNFTsCross-ChainBridgesWhatIsAaveHashRateVeChainWhatItIsHowItWorksExamplesandHistoryDecentralizedFinanceDeFiandHowDoesItWorkSmartContractsontheBlockchainandHowTheyWorkMakeaCryptocurrencyGovernanceBlockchainTechsGreatestProblemEOSTokensDefinedTheBasicsandExamplesPublicPrivatePermissionedBlockchainsComparedIndustriesWillBlockchainTechnologyDisruptBlockchainTechnologysThreeGenerationsBlockchainOneofHistorysGreatestInventionsHashgraphConsensusWhatItisHowItWorksTRONTRXBlockchainPlatformExplainedandHowDoesItWorkCompaniesUsingBlockchaintoChangeTravelConsensusMechanismsinBlockchainandCryptocurrencyHyperledgerIrohaandHowDoesItWorkHyperledgerFabricDefinitionExampleRisks2.0VersionCanDecentralizedBlockchain-BasedInternetBecomeaRealityStellarBlockchainOverviewHistoryFAQBlockchainETFsvs.BitcoinETFsWhatstheDifferencePermissionedBlockchainDefinitionExamplesVs.PermissionlessBlockchainETFWorksSegWit2xWhatItisHowItWorksConcerns0xProtocolWhatitMeansHowitWorksGoalsDistributedLedgersDefinitionHowTheyreUsedandPotentialDistributedLedgerTechnologyDLTDefinitionHowItWorksBlockchainETFMeaningCriticismExampleBlockHeaderCryptocurrencyDefinitionandHowItWorksHardForkWhatItIsinBlockchainHowItWorksWhyItHappensBlockHeightWhatitMeansinCryptocurrencyHashFunctionsandCryptocurrencyMiningSegregatedWitnessSegWitDefinitionBlockchain-as-a-ServiceBaaSNonceWhatItMeansandHowItsUsedinBlockchainTokenizedEquityHowTokenizedStockWorksandExampleForgetBitcoinBlockchainistheFuturedoesablockchainpreventdouble-spendingofBitcoinsPolybiusHyperledgerOpen-SourceBlockchainFrameworkandStandardsWhatIsaBlockintheCryptoBlockchainandHowDoesItWorkBlockstackStacksBlockchainTechnologyCouldRevolutionizeTraditionalBankingBlockchainCanHelpEmergingEconomiesBlockchainWillRevolutionizeFutureCarsBlockchainOperatingSystemOverviewandExamplesBlockchainWontCutOutIntermediariesAfterAllWorldBanksBlockchain-BasedBondsBlockchainCanProtecttheGlobalEconomyHealthCareIsMovingTowardBlockchainBlockchainCanFightPiracyHyperledgerSawtoothWhatitisHowItWorksBlockchainReplacingtheSIMCardHyperledgerComposerWhatItMeansHowItWorksGPUIndustryIsBoomingThankstoBlockchainInterchangeHyperledgerExplorerCryptocurrencyAltcoinsBitcoinStrategyEducationBuyingSellingInitialCoinOfferingsBlockchain""",https://www.investopedia.com/blockchain-4689765
9,9,"""Blockchain vs. Crypto Not What It Seems. Blockchain not bitcoin emerged in 2018 as an attempt by enterprise projects to capitalize on the market's performance woes, the new version does the same but swaps in crypto to reflect the ecosystem's spread. By Noelle Acheson Dec 13 2022 at 6:54 p.m. UTC Updated Sep 28 2023 at 2:24 p.m. UTC. Last week Goldman Sachs CEO David Solomon wrote an op-ed for the Wall Street Journal titled 'Blockchain Is Much More Than Crypto' in which he reminded us of the potentially far-reaching impact of tokenization and peer-to-peer payments and drilled down on the benefits of risk reduction and settlement speed. Last month Citi published the results of a survey showing that 92% of participating institutions see value in tokenization while 88% are either exploring distributed ledger use cases or actively participating in blockchain projects. Over the past few days the Red Cross talked about ongoing work on a blockchain-based aid distribution prototype and Japanese banking conglomerate Sumitomo Mitsui Financial Group announced plans to work on soulbound tokens for digital identity. Bitcoin was an asset with no backing or clear utility, the implied argument seemed to go, whereas blockchain, well, that was a technology. Noelle Acheson is the former head of research at CoinDesk and Genesis Trading. This article is excerpted from her 'Crypto Is Macro Now' newsletter which focuses on the overlap between the shifting crypto and macro landscapes. These opinions are hers and nothing she writes should be taken as investment advice. Both hype and failure are a natural part of a new technology's evolution. Avalanche, Dogecoin, Ethereum, Crypto Prices, CoinDesk Market Index, CoinDesk. Blockchain and crypto, there's plenty of room for both. Blockchain, Crypto, Noelle Acheson, Crypto 2023, Opinion.""
",https://www.coindesk.com/consensus-magazine/2022/12/13/blockchain-vs-crypto-not-what-it-seems/
